incoming_found,incoming_length,incoming_start_x,incoming_start_y_from_centre,incoming_source_same_winner,incoming_seconds_before,incoming_high,incoming_low,incoming_ground,incoming_cross,incoming_switch,incoming_goal_kick,incoming_free_kick,incoming_corner,incoming_under_pressure,ahead_adv,behind_adv,central_adv,ahead_corridor_adv,behind_corridor_adv,mean_along_adv,flight_line_proximity_adv,winner_event_id
1.0,60.105324,24.2,0.3999999999999986,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,1.0,-8.646943496460782,0.24802087149487426,edc6642a-bd00-429d-a591-5e79c533531b
1.0,69.56069,114.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,-1.0,1.0,-2.0,6.804358227807519,0.3511996903012933,1b3e5088-f636-4a24-8292-ba5f0313365c
1.0,66.471344,39.0,18.299999999999997,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.0,-2.0,0.0,-2.0,-0.9949068905896112,0.03161611910261125,8a006f4c-ab05-4ec0-bd0f-f30b29368082
0.0,,,,,,,,,,,,,,,,,,,,,,e4fcdd5a-7740-46b4-a663-ef6c0b1c8e6a
1.0,44.826443,42.5,20.200000000000003,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,-3.0035189483289795,0.4841370655250809,15671c59-65dc-4d59-bb8d-1d5c913dd82e
1.0,52.867096,103.5,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-2.0,0.0,-2.0,5.5905890548722805,0.1423032999589323,3a1b61b2-534d-4def-a6db-816489f9cfe8
1.0,40.460476,0.0,40.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,-7.7466064504462455,0.1784500071617888,48402acc-6500-4ccc-bcc8-061093e17ade
1.0,77.17318,108.6,1.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-2.0,9.973536283319012,0.8011059918369977,48d5d3e0-aa2b-4a50-9bfb-cfab62c88e2f
1.0,60.504875,113.0,4.100000000000001,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-2.0,-1.0,2.0,-2.0,5.219954983982281,0.5921321217813651,fa74d0fa-667b-48c6-a60e-a8a563b7a328
0.0,,,,,,,,,,,,,,,,,,,,,,0e132039-d33c-49fa-b0d6-e19029bc655d
1.0,47.869926,62.2,18.299999999999997,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,1.0,1.2989316460077784,2.553787425418116,571cc8aa-6717-4bdf-b585-abf2eade6b30
0.0,,,,,,,,,,,,,,,,,,,,,,00c78720-4fb3-48f7-9d06-2b5af206365f
1.0,59.61518,114.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,13.588827138733503,0.9735985180842668,afacbc32-d63a-4639-b28e-2af090610cf1
0.0,,,,,,,,,,,,,,,,,,,,,,960f3f47-1b95-4470-b35b-181723539cf9
1.0,42.2167,8.7,32.9,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0740963684580365,1.4200711878028835,ea65f2f2-41d6-4e4a-8173-68131e58b1ef
1.0,46.157665,2.1,24.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,-6.565186400792753,1.9360877945899369,67b9c5a1-1703-4189-a95a-81b2a8606c8b
1.0,39.772476,115.7,23.700000000000003,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-3.0,0.0,0.0,0.0,7.863216855704513,0.6246522725518134,b52a5b16-a7a3-4863-917c-806fdf86e934
1.0,63.42184,112.1,2.3999999999999986,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,5.113358317255667,2.6485172701607564,a69dcdfa-1b25-4182-b465-b7a0b27ce4e2
1.0,52.587452,100.1,18.700000000000003,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,4.475117052703201,0.5112613624672159,e4bbbdc7-8524-41db-baf1-7e8b574ff80c
1.0,6.8963757,57.8,19.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,-1.0,5.345039730051951,0.3078747699963987,88cfa140-7cc7-476c-8efc-cbe9868c0067
1.0,71.08811,114.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,8.490675880106554,1.0031198660091452,81b000e5-044d-4258-a7c2-a67af271ec4f
1.0,74.272,114.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,6.874373592329173,0.07394701926071062,50e0b58d-3025-4a93-ac19-c7b7b88b2139
