match_id,competition,season,winner_event_id,split,target,winner_event_type,is_clearance,contest_x,contest_y,coverage_15m,loser_source_proxy,contestant_distance,nearest_winner_support,nearest_loser_support,second_winner_support,second_loser_support,winner_support_spread,loser_support_spread,winner_angular_concentration,loser_angular_concentration,support_centroid_gap,pass_length,pass_is_high,pass_is_low,winner_centroid_dx,winner_centroid_dy,loser_centroid_dx,loser_centroid_dy,winner_support_5m,loser_support_5m,support_advantage_5m,winner_support_10m,loser_support_10m,support_advantage_10m,winner_support_15m,loser_support_15m,support_advantage_15m
3930180,UEFA Euro,2024,dd87af73-dcd1-4b1b-9b8a-13b4a421f930,train,1,Pass,0,42.1,57.1,1.0,0,0.47844023521355944,4.428591641210303,3.547860005056823,7.35044714096848,7.05999790263222,7.5511419326137075,7.508537647067577,0.25441745413119055,0.40874184320762635,1.543426203450752,13.130879,0,1,1.2903974957348403,-3.2100654079602844,2.7878490343196844,-2.8361625661841288,1,1,0,3,2,1,4,4,0
3930180,UEFA Euro,2024,63cdac1f-dea7-49ac-8319-c45ed05d2f80,train,1,Pass,0,106.7,47.1,0.9775062094130159,1,4.174044486463153,5.029995298562192,5.23327759022472,14.228717183250282,8.862172660164884,4.7009116734188545,6.546296981683079,0.9621098174748702,0.8097390082200951,3.469961007514142,12.39758,0,1,-0.7715294094339953,-10.989161296781932,-2.0889588682510434,-7.779019708828282,0,0,0,1,2,-1,3,5,-2
3930180,UEFA Euro,2024,3a614592-1b5a-4316-a184-a1c82fd97b4c,train,1,Pass,0,63.2,6.9,0.7821750095484686,0,1.2953515255577552,10.097659889842939,8.299588800186,10.741433320444417,13.271525182165526,9.716023419988218,10.327991846255593,0.4973810826884624,0.4614384787483126,2.454601873440007,10.704205,1,0,-4.2819399820254755,4.69470811643947,-1.829011275503163,4.785323334885186,0,0,0,0,1,-1,4,3,1
3930180,UEFA Euro,2024,0e95a886-57aa-45d7-89e4-d7ae0da33a16,train,0,Pass,0,63.5,17.6,1.0,1,1.072242785191216,7.093484397466741,5.137450099514007,7.505614395608145,6.542164148565564,8.671089105916732,9.417324761813797,0.43416661400409495,0.21613230071124734,3.959148863665917,11.761377,0,1,-2.8750226459850112,-4.113992305151837,0.9091266380409971,-2.949915881169042,0,0,0,3,2,1,5,6,-1
3930180,UEFA Euro,2024,b6406253-fddf-43a7-b55e-282db6156490,train,0,Pass,0,109.1,32.2,0.8589348843265996,0,0.4132823940839479,3.6686614575363508,4.469790130280509,10.885684787399821,5.157168089794112,7.3942241235570885,7.1426857438288165,0.5724727650355879,0.3942455430234282,3.7421358303696675,3.733631,0,1,-3.7185624461295532,1.821630902927711,-0.9207578076950227,4.306760633563661,1,1,0,1,4,-3,3,5,-2
3930180,UEFA Euro,2024,4514546e-6724-457b-8ec8-6aa8425787fc,train,0,Pass,0,57.0,50.9,0.9736929002380829,0,1.5506470733698319,5.346836343486644,5.314134556973706,8.49754974958732,12.168228921325225,9.05321605558523,4.881474574861625,0.36076648239889125,0.9017333225205063,5.504489580460993,34.125942,1,0,3.2215194393775106,1.5798006808203777,7.914748944286327,-1.2964820513978914,0,0,0,2,1,1,6,2,4
3930180,UEFA Euro,2024,7bbbaea1-e975-406a-91c5-c52cca2af245,train,1,Pass,0,85.6,33.0,0.9665497898939699,0,0.7497549923822687,3.7691246511128607,5.944225586996917,13.00476641512112,9.117699612857196,10.654241196321848,8.752416726494802,0.37604788279073464,0.3424912523720903,1.0955888435293517,27.308058,0,1,-1.3579350990474808,2.981230476735192,-0.2641657940923423,3.044346414531722,1,0,1,1,2,-1,4,4,0
3930180,UEFA Euro,2024,1640dfb9-74f8-45bd-93ad-db631793c624,train,1,Pass,0,81.7,42.6,1.0,1,1.5225046661278294,3.2892871013986937,6.459320298190712,10.939635021840905,9.011416674876033,9.00307948358564,8.603600642022654,0.4661085594929103,0.39365592854872206,5.548575298088462,9.610411,0,1,-4.115798448871917,-4.943788097945006,1.3667166829582897,-4.0901396528516685,1,0,1,1,3,-2,4,5,-1
3930180,UEFA Euro,2024,6075af66-b44e-45b7-b3bf-008108eb3290,train,1,Pass,0,88.0,36.9,1.0,0,2.999889380090228,2.4173801802571737,3.6561671584576647,6.093815686667038,5.9758939903510875,5.980241446271678,7.981029396386846,0.2111287824431396,0.32447317762247857,3.3721048766175974,5.60803,0,1,2.4327132166660874,-0.30048475373595274,-0.13553716919973624,-2.48570356529882,1,1,0,4,5,-1,4,8,-4
3930180,UEFA Euro,2024,13b13efb-8e1b-4f4f-8f9b-bdcdf99dbff4,train,1,Pass,0,32.6,42.8,1.0,0,0.4371766845935198,2.9031348113016135,0.68989030982052,5.165680063934395,5.666524798304265,9.243037846166818,5.842933462128443,0.252321490497634,0.5546887225054979,3.677243499260179,11.388591,0,1,-0.8792821473199806,-0.7048192307482051,-2.3920236976190132,-4.0564953420170315,1,1,0,4,3,1,8,4,4
